"Season","Name","Team","Pos","Inn","DRS","OAA","E","playerid"
"2017","Alex Gordon","KCR","LF","1178.2","6","4","2","5209"
"2015","Kris Bryant","CHC","3B","1209.1","-5","","17","15429"
"2019","Justin Turner","LAD","3B","1023.2","-5","4","8","5235"
"2021","Tyler O'Neill","STL","LF","1105.0","11","4","9","15711"
"2020","Manny Machado","SDP","3B","464.0","7","3","2","11493"
"2022","Steven Kwan","CLE","LF","1019.2","21","10","2","24610"
"2015","J.D. Martinez","DET","RF","1306.1","8","","2","6184"
"2018","Alex Gordon","KCR","LF","1085.0","14","3","2","5209"
"2017","Whit Merrifield","KCR","2B","1142.2","-1","2","11","11281"
"2020","Kolten Wong","STL","2B","397.0","5","2","2","12532"
"2020","Joey Gallo","TEX","RF","456.2","13","3","0","14128"
"2020","Tim Anderson","CHW","SS","417.1","2","2","6","15172"
"2017","Jason Heyward","CHC","RF","919.0","18","6","2","4940"
"2016","Adam Duvall","CIN","LF","1173.1","17","4","8","10950"
"2019","Christian Walker","ARI","1B","1179.0","9","15","11","13419"
"2020","Danny Jansen","TOR","C","342.1","-4","","2","16535"
"2021","Isiah Kiner-Falefa","TEX","SS","1360.0","10","-6","19","16512"
"2021","Cedric Mullins II","BAL","CF","1264.0","-1","11","6","17929"
"2020","Kyle Seager","SEA","3B","450.2","-3","3","4","9785"
"2016","DJ LeMahieu","COL","2B","1242.2","3","5","6","9874"
"2015","Marcell Ozuna","MIA","CF","924.2","-1","","1","10324"
"2016","Anthony Rendon","WSN","3B","1345.0","13","1","9","12861"
"2021","Justin Turner","LAD","3B","1173.2","-2","0","12","5235"
"2022","Alek Thomas","ARI","CF","907.1","6","6","3","23792"
"2020","Mookie Betts","LAD","RF","438.2","11","4","4","13611"
